Title,Labels,Reviewers,Assignees,Comments,Opened time,Closed time,Number of commits,Number of changed files,Number of participants
Added (last)indexOf methods to ObjectArrays,P4 cla: yes,,,"liach: No description provided..liach: Do I need to add @since tags in the Javadoc?.cgdecker: I don't think we want to add this to ObjectArrays because it's something you can do using Arrays.asList(objectArray).(last)indexOf(), and that's what we'd prefer you do..liach: Thanks for handling this pr!",2016-11-13T19:31:49Z,2019-10-02T21:03:50Z,1,2,3
specify executor,cla: yes package=eventbus type=addition,liach,cgdecker,"teaey: Some times, we need events to be executed by specified executor..teaey: @cpovirk @kluever @lowasser
Can anybody accept this PR?.googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.
In order to pass this check, please resolve this problem and have the pull request author add another comment and the bot will run again. If the bot doesn't comment, it means it doesn't think anything has changed..googlebot: CLAs look good, thanks!.teaey: @liach 👍  Can you merge this PR now？thanks..jbduncan: @teaey You'll have to wait for someone from the Guava team to have a look at this PR first, as neither @liach nor myself are on the Guava team nor employees of Google ourselves.
Did you read the API section of the contribution guidelines? :).teaey: @jbduncan I just read it.
This guide means that only Google employees can merge the code�?jbduncan: @teaey That's correct.
It also means that Google employees have very high standards for the APIs they accept into Guava and follow a rigorous internal review process, so this PR may be rejected initially and they'll ask you to rewrite the code, or they may decide that the API doesn't really add anything and outright reject it.
But if either of those things do happen to you, try not to be discouraged, for it would actually be a very good thing as it would mean that Guava's API remains relatively easy to use and of high quality. :).liach: google doesn't really like additions. In comparison, bug fixes get accepted more easily..nick-someone: Realistically, we're unlikely to add functionality to EventBus at this point.",2016-11-11T12:50:51Z,2019-10-25T18:11:07Z,1,0,7
specify executor,cla: no,,,"teaey: Some times, we need events to be executed by specified executor..googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..teaey: I signed it!.googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.",2016-11-11T12:39:44Z,2016-11-11T12:44:57Z,1,0,2
Use GWT's provided Arrays.copyOf and Arrays.copyOfRange where possible,cla: yes,,cpovirk,"korzha: No description provided..googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..googlebot: CLAs look good, thanks!",2016-11-10T13:51:09Z,2016-11-14T15:04:26Z,1,0,3
"Fix some typos in guava-[gwt,testlib,tests]/*",cla: yes,,,sebkur: I found some more Javadoc typos,2016-11-07T11:06:18Z,2016-11-08T15:45:56Z,1,0,2
Fix links to javadoc.io for Maven Javadoc Plugin,cla: yes,,,"arend-von-reinersdorff: Fixes #2479
Links must have a /package-list file",2016-11-04T10:04:59Z,2016-11-04T14:05:19Z,1,0,2
"Added lastIndexOf(byte[] array, byte[] target) method to Bytes primit�?,cla: yes,sim642","liach""",,"luisalduucin: Added lastIndexOf(byte[] array, byte[] target) method to Bytes primitive class and its corresponding tests.
It is a fix for the issue #2617 ..googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..luisalduucin: I signed it!.googlebot: CLAs look good, thanks!.sim642: I feel like this PR has been quickly hacked together and is not production quality code..liach: @luisalduucin You can add these to all the primitive classes..luisalduucin: @liach Yes, sure I will, but before I would like that a Google member or guava contributor check if my approach is correct in order to proceed. Thanks..liach: Ok... been dead for around 15 months.",2016-11-04T05:28:53Z,2018-02-19T19:41:12Z,4,0,4,
Added the lastIndexOf method for the Bytes primitives class for both parameters as byte array types.,cla: no,,,"luisalduucin: Added the lastIndexOf method which receives two byte array as parameters for the Bytes primitive class and its corresponding tests.
It is a fix for the issue #2617 ..googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google..googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..luisalduucin: I signed it!",2016-11-04T04:49:16Z,2016-11-04T05:02:11Z,3,0,2
Use a newer JDK 8 for travis build,cla: yes,,,"cushon: The travis docker image uses JDK 8u31, which is ancient and has type
inference bugs that are fixed at head. This change causes it to use 8u111:
travis-ci/travis-ci#3259 (comment).cushon: The JDK 8 build looks good now: https://travis-ci.org/google/guava/jobs/173130822
I update the PR to also turn off the JDK 7 builds.",2016-11-04T00:34:22Z,2016-11-04T14:05:19Z,1,1,2
Make SloppyTearDown.logger private.,cla: yes,,,"dlazerka: Being public, it always gets into way of our class (import is done automatically by auto-importing tools).
It's not used anywhere else, so can be private.
If it's intended to be used by inheritance, then it can be protected as well.
If it really neede to be public, then it's better be available through a getter method..googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..dlazerka: I signed it!.googlebot: CLAs look good, thanks!",2016-11-03T23:45:38Z,2016-11-04T15:12:53Z,1,0,2
fix warning on eclipse4.6 (com.google.common.collect.MutableClassToInstanceMap),cla: yes,,,"hand515: Warning on eclipse ,
Bound mismatch: The generic method cast(Class<T>, B) of type MutableClassToInstanceMap<B> is not applicable for the arguments (capture#8-of ? extends Class<? extends B>, capture#12-of ? extends B). The inferred type capture#10-of ? extends B is not a valid substitute for the bounded parameter <T extends B>.googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..hand515: I signed it!.googlebot: CLAs look good, thanks!",2016-11-02T03:35:05Z,2016-11-02T19:43:31Z,2,1,2
Link local address,cla: yes,,,"rudenvla: link-local address validation with percent and scope id.googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..rudenvla: I signed it.googlebot: CLAs look good, thanks!.nick-someone: Hi there! Thanks for sending us this PR!
One thing I want to talk about here is that, while you've updated the validation function, InetAddresses.forString doesn't appear to preserve the scope part of the IPV6 address..cpovirk: I am optimistically assuming that this got handled by 8a7d36a#diff-1207ec0a4b5d3f5e5c2236b7373eefc9, but please reopen if not.",2016-11-01T19:56:56Z,2020-01-13T21:26:11Z,2,0,4
Fix some typos in guava/*,cla: yes,,,sebkur: I found some typos in Javadoc comments and fixed them,2016-11-01T00:03:37Z,2016-11-01T17:20:46Z,1,0,2
Fix #1190,cla: yes,,,"jbduncan: Commit text body:

Before this fix, splitting a single character input string with a
Splitter.onPattern instance created with a zero-width regex pattern,
would have caused the input string to be dropped from the output,
resulting in an empty iterable being returned rather than a single
element one.
This fix ensures that the input passes through untouched.
For example, whereas before in this code snippet, 'words' would have
been initialized as an empty iterable...
String string = ""f"";
Iterable<String> words =
    Splitter.on(Pattern.compile(""\\b"")).split(string);
// words is empty!

...it is now initialized as [""f""].",2016-10-28T16:42:41Z,2016-10-31T18:40:50Z,1,0,2
fixes serialization errors when serializing a RegularImmutableAsList,cla: yes,,cpovirk,"bjrke: the issue occur when ImmutableList is included in gwt's serialization
policy and ImmutableSet not and a list created by ImmutableSet.asList
needs to be serialized
fixes #1841.googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..bjrke: I signed it!.googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google..bjrke: I signed it!.googlebot: CLAs look good, thanks!",2016-10-26T16:41:47Z,2016-10-31T18:40:50Z,1,0,3
fixes serialization errors when serializing a RegularImmutableAsList,cla: no,,,"bjrke: the issue occur when ImmutableList is included in gwt's serialization
policy and ImmutableSet not and a list created by ImmutableSet.asList
needs to be serialized
fixes #1841.googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name.",2016-10-26T16:28:45Z,2016-10-26T16:41:25Z,1,1,2
Update to GWT 2.8.0,cla: yes,,,freddyboucher: http://www.gwtproject.org/release-notes.html#Release_Notes_2_8_0,2016-10-24T22:46:39Z,2016-10-25T19:08:51Z,1,0,2
Update to GWT 2.8.0,cla: no,,,"freddyboucher: http://www.gwtproject.org/release-notes.html#Release_Notes_2_8_0.googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.",2016-10-24T22:43:50Z,2016-10-24T22:44:43Z,1,1,2
Fix google/guava#2599,cla: yes,,,"vijaykcm: This change fixes a documentation error regarding the return type/value
of computeInPlace function.",2016-10-16T08:01:44Z,2016-10-17T16:38:16Z,1,0,2
Update StopwatchTest.java,cla: no,,,"yecril71pl: Use micro sign for microsecond unit..googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..simon04: This PR seems to be a subset of #2592 and should be closed?",2016-10-06T21:13:50Z,2016-11-21T16:53:28Z,1,1,3
Test case added to prove functionality,cla: yes package=concurrent,,cgdecker,"bhdrkn: Added a new tests case that proves  RateLimiter
works even for very small numbers.
Issue: #2231",2016-10-06T21:06:04Z,2017-01-31T19:41:43Z,1,1,4
micro sign,cla: no package=base type=api-docs,,,"yecril71pl: The micro sign is a different character than Greek small letter mu.  The current rendering is in error.  Moreover, it does not print on an 8-bit console unless the code page is Greek, which is insane..googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..simon04: See #2593 for a discussion on this change..cpovirk: Bulk closing all pull requests that are listed as needing CLA signing. If you'd like us to look at your pull request, you'll need to sign the CLA and report back here.
If this is a false positive, I apologize. Please reopen the pull request, and we'll have a look.",2016-10-06T20:42:30Z,2017-01-09T20:04:52Z,2,0,5
"usage of American English spelling for ""license""",cla: yes,,,manonthemat: for consistency,2016-10-04T22:12:37Z,2016-10-05T17:30:00Z,1,0,2
Update Mockito version to 2.1.0,cla: yes,,,Xaerxess: Mockito 2.1.0 is out! It should be a smooth upgrade from RC-1..Xaerxess: See #2567 for context.,2016-10-04T14:31:23Z,2016-10-04T19:58:44Z,1,1,2
Remove redundant String.format call,cla: yes,,,jbduncan: No description provided.,2016-09-29T02:52:29Z,2016-09-29T18:44:11Z,1,1,2
Remove unused imports,cla: yes,,,jbduncan: No description provided.,2016-09-29T02:46:36Z,2016-09-29T18:59:58Z,1,0,2
Replace unnecessary StringBuilder calls with String concat,cla: yes,,,"jbduncan: According to IntelliJ, these usages of StringBuilder can be simplified. By my understanding, this is because they do not contain any loops, and thus, as of Java 6, JVMs are able to optimize these concatenations into more-efficient StringBuilder calls at compile time. Thus this change improves readability without losing performance..lowasser: Heh.  I'm at least partially responsible for that change in upstream JDK, so it's appropriate we apply those simplifications to Guava now...",2016-09-29T02:43:30Z,2016-09-29T18:59:58Z,1,0,3
Apply IntelliJ-suggested language feature migrations.,cla: yes,cpovirk,,"jbduncan: All code which initializes an IOException with a cause exception now uses the appropriate constructor (which was introduced in Java 6), rather than initCause. Since Guava now depends on Java 6, this (as far as I can tell) is a safe change to make.
A change was made from using an Iterator to an enhanced for-loop for (arguably) improved readability and, by my understanding, no performance impact.
All other changes should hopefully be self-explanatory. :).googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..jbduncan: I signed it!.googlebot: CLAs look good, thanks!",2016-09-29T02:14:08Z,2016-09-29T18:44:11Z,1,0,3
Remove reference to a deprecated method,cla: yes,,,"Xaerxess: I found these comments slightly confusing. (I also wonder whether you removed sameThreadExecutor internally, since it's scheduled for removal in August 2016, but I guess it means in ""when Guava 20 is out"".).cpovirk: Yeah, we've fallen behind on removing things. sameThreadExecutor is on our to-do list. We won't hold up Guava 20 over it, though, so it might hang on longer :(
Anyway, thanks for the comment fix.",2016-09-28T21:44:04Z,2016-09-29T19:11:36Z,1,0,3
Update Mockito version to 2.1.0-RC.1,cla: yes,,,"TimvdLippe: Last week we released our first release candidate of Mockito 2.
This release should be backwards compatible with the codebase
of Google Guava.
To read about all changes in Mockito 2, check out
https://github.com/mockito/mockito/wiki/What%27s-new-in-Mockito-2
I have ran your test suite locally before and after this change and
did not discover any regressions nor test failures.
While this version is a release candidate, we are not planning
to introduce any changes for the final release. There might be
possible bug fixes included in the final release, but so far
we have not received any reports of regressions in our library.
Thank you for using Mockito and please let us know what you think!.mockitoguy: Please consider pushing :) Thanks for supporting OS community!!!.TimvdLippe: Thanks a lot for merging @cpovirk . We are really happy that a 850k test code base can safely upgrade to multiple minor + 1 major version of Mockito. This gives us a lot of confidence publishing this long-awaited major upgrade..mockitoguy: Thank you @cpovirk. It's very helpful! Thanks @TimvdLippe for driving this!",2016-09-17T11:01:46Z,2016-09-27T19:22:42Z,1,1,3
update source,cla: no,,,"LittleFatz: update source.googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name.",2016-09-12T12:13:18Z,2016-09-12T14:44:20Z,2,1,2
Update CharSource.java,cla: yes,,,"davidsheldon: Typo fix - link -> line..googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..davidsheldon: I signed it!.cpovirk: It looks like you're still not showing up in the CLA list. Is it under some email address other than dave-github@earth.li?.davidsheldon: Ah, it was, I've done another one now, it seems you can't change the email address on the CLAs. Hopefully it can support two for the same github account. It's a lot of work to fix a single character in the documentation.....googlebot: CLAs look good, thanks!.cpovirk: Yep, sorry :( It's at least a one-time cost, if that's any consolation. I'm submitting this internally now, and it will be mirrored out shortly.",2016-09-12T12:11:19Z,2016-09-13T19:13:13Z,1,1,3
Fix MultiInputStream.read(byte[]): do not stop after first stream...,cla: yes,,,"jbgi: if there is still bytes to read..googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..jbgi: CLA signed..googlebot: CLAs look good, thanks!.jbgi: After examination of the javadoc, the current behavioir is not a bug:

An attempt is made to read as many as len bytes, but a smaller number may be read.

It is just that the code that exposed bad behavior did not use com.google.common.io.ByteStreams#read or equivalent.",2016-09-11T10:31:34Z,2016-09-11T12:32:23Z,1,2,2
Adding checkPositive MathPreconditions before using value of x,cla: no,,,"dpsingh016: Adding checkPositive MathPreconditions before using value of x in ceilingPowerOfTwo and floorPowerOfTwo methods..googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google..dpsingh016: Updated email address.lowasser: Not sure why you feel this is necessary?  log2, which these methods call immediately, already does this check..dpsingh016: Presently we are tightly coupled with log2 method to enforce the method contract ""@throws IllegalArgumentException if {@code x <= 0}""
I'm following fail fast concept at this place. If we know that for non positive values of x this method is going to fail we can fail it even before calling log2 method..lowasser: There's no reason to check twice.  We have tests to make sure the exception gets thrown somewhere, and throwing the exception is part of log2's contract, which we can depend on..cpovirk: Bulk closing all pull requests that are listed as needing CLA signing. If you'd like us to look at your pull request, you'll need to sign the CLA and report back here.
If this is a false positive, I apologize. Please reopen the pull request, and we'll have a look.",2016-09-03T19:31:19Z,2017-01-09T20:04:52Z,1,0,4
Add ability to accept IllegalArgumentExceptions using NullPointerTester,cla: yes,,,"kartoffelsup: No description provided..googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..kartoffelsup: I signed it!.googlebot: CLAs look good, thanks!.lowasser: Have you seen #1949 ? We already have this but have not yet decided whether we want this in external Guava..kartoffelsup: I haven't, sorry! Shame on me :(",2016-08-23T21:02:16Z,2016-08-23T21:34:38Z,1,0,3
"Fix Issue #2554, Helpers#isEmpty",cla: yes package=testing status=fixed type=defect,,lowasser,"ghonzo: As detailed in issue #2554 there was a bug in com.google.common.collect.testing.Helpers#isEmpty when passed an Iterable that is not a Collection.
Added a test that fails before the patch, succeeds after..googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..lowasser: I think we're actually going to aim to kill off this class entirely and replace it with Truth rather than try to fix its brokenness..ghonzo: Fair enough! Thanks for the direction..lowasser: Bleahhhhh it looks like we might have to live with this class due to some dependency weirdnesses.
Going to reopen this so we can fix this issue, at least..googlebot: CLAs look good, thanks!.kluever: @lowasser do you mind handling this request? thanks.lowasser: I'm pretty sure I got this already, not sure if it's sync'd out yet though..cpovirk: 6c63cf3",2016-08-23T19:01:40Z,2016-08-23T19:11:03Z,1,0,6
Provide emulation for classes that use BitSet.,cla: yes,,cpovirk,"korzha: GWT 2.8 added BitSet emulation..cpovirk: Thanks. Looking at this now..spirylics: Since, this error appears now :
[INFO]    Tracing compile failure path for type 'com.google.common.collect.BinaryTreeTraverser'
[INFO]       [ERROR] Errors in 'jar:file:/Users/cyril/.m2/repository/com/google/guava/guava-gwt/20.0-SNAPSHOT/guava-gwt-20.0-SNAPSHOT.jar!/com/google/common/collect/BinaryTreeTraverser.java'
[INFO]          [ERROR] Line 134: No source code is available for type java.util.BitSet; did you forget to inherit a required module?
[INFO]    [ERROR] Aborting compile due to errors in some input files
Somebody has an idea ?.korzha: @spirylics #2547",2016-08-11T11:30:56Z,2016-08-11T19:33:44Z,1,0,4
Emulate Queue/Deque impls in GWT.,cla: yes package=collect type=enhancement,,cpovirk,"korzha: GWT 2.8 has ArrayDeque implementation.cpovirk: Nice, didn't realize that GWT had added this.
And thanks. I didn't realize that we'd fully duplicated TreeTraverser, either.",2016-08-10T14:31:22Z,2016-08-24T19:35:53Z,1,11,5
Implement the indexOf method of the CartesianList,cla: yes package=collect type=enhancement,ronshapiro,lowasser,"hadrienk: The implementation of the method indexOf(Object o) in the AbstractList iterates over the iterator. In the case of Cartesian list, the index can be computed instead..hadrienk: Hi! Can I help with something to get this PR merged?.hadrienk: @lowasser @kluever.cpovirk: (IIRC Louis may already have imported this and made the style fixes. Not on my laptop to check though.).ronshapiro: Ah, I see this is in #3197, but @lowasser didn't attribute it correctly",2016-08-08T13:42:33Z,2018-07-10T19:39:29Z,1,2,6
Implement the indexOf method of the CartesianList,cla: no,,,"hadrienk: The implementation of the method indexOf(Object o) in the AbstractList iterates over the iterator. In the case of Cartesian list, the index can be computed instead..googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.",2016-08-08T13:37:28Z,2016-08-08T13:38:04Z,1,2,2
while-statement did not loop,cla: yes,,cpovirk,"leksak: A return statement occurred in the first
iteration of the loop making the loop
statement redundant, as it is semantically
equivalent to an if-statement.
Replaced the loop-statement with the
equivalent if..googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..leksak: I signed it!.googlebot: CLAs look good, thanks!",2016-08-03T22:37:58Z,2016-08-09T14:07:15Z,1,0,3
Add method to create a temp directory at a different location,cla: no package=io type=addition,,cgdecker,"phoenix384: Add a method to create a temp directory beneath a user defined parent directory instead of the system's temp directory.googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..cpovirk: Bulk closing all pull requests that are listed as needing CLA signing. If you'd like us to look at your pull request, you'll need to sign the CLA and report back here.
If this is a false positive, I apologize. Please reopen the pull request, and we'll have a look.",2016-07-20T11:42:53Z,2017-01-09T20:04:52Z,1,1,5
modify pom,cla: no,,cgruber,"hellosky806: add repository.googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.


If you've already signed a CLA, it's possible we don't have your GitHub username or you're using a different email address.  Check your existing CLA data and verify that your email is set on your git commits.
If you signed the CLA as a corporation, please let us know the company's name..cgruber: Why is this repository necessary.  Guava is itself available through repo1,
as are it's very few dependences.  What is this pull request accomplishing?
On Wed, Jul 20, 2016, 07:24 Kurt Alfred Kluever notifications@github.com
wrote:

Assigned #2534 #2534 to @cgruber
https://github.com/cgruber.
�?You are receiving this because you were mentioned.
Reply to this email directly, view it on GitHub
#2534 (comment), or mute the
thread
https://github.com/notifications/unsubscribe-auth/AAUN4lucl2WOv3KgMR8xAN4-mhX7Ir4Bks5qXi-bgaJpZM4JQck1
..cpovirk: Bulk closing all pull requests that are listed as needing CLA signing. If you'd like us to look at your pull request, you'll need to sign the CLA and report back here.
If this is a false positive, I apologize. Please reopen the pull request, and we'll have a look.",2016-07-20T05:48:43Z,2017-01-09T20:04:52Z,2,0,5
